T1 (C),t1 (min),T2 (C),t2 (min),Ultimate Tensile Strength (MPa),Energy (kWh)
1162,99.2,814,303.45,1125.33,5.13
1035,94.8,635,442.16,1120.67,3.47
1101,72.4,677,198.57,1221,3.15
1081,40.9,790,357.36,1316,3.46
964,27.3,707,132.44,1386.67,1.83
950,99,860,120,1197.67,2.48
1200,15,860,120,798.33,2.5
950,15,860,120,1199,1.87
950,15,753,280,1451,2.4
950,120,791,480,1294.33,4.14
950,120,758,196,1387,2.81
950,15,600,120,1044.67,1.4
950,15,760,120,1411.67,1.73
985,15,740,294,1492.67,2.47
1064,15,737,480,1443.67,3.38
952,15,725,480,1442.67,3.14
1034,15,740,227,1441.33,2.28
999,15,735,369,1445.67,2.79
994,15,743,480,1438.67,3.27
994,16,739,324,1468.67,2.62